university_id,Name,Address,Code,Type,Location,Status,Lattitude,Longitude
1,Alumnae Hall,91 Alumnae Dr.,ALUM,Administrative,EG,OWNED,38.439672,-78.874061
2,Anthony-Seeger Hall,821 S. Main,AS,Academic,EG,OWNED,38.441268,-78.875416
3,Ashby Hall,50 Bluestone Dr.,ASHB,Residential,AUX,OWNED,38.438641,-78.875139
5,Burruss Hall,820 Madison Dr.,BURR,Academic,EG,OWNED,38.439397,-78.872200
6,Cleveland Hall,61 E. Grace,CLEV,Academic,EG,OWNED,38.439997,-78.873928
7,Converse Hall,30 Bluestone Dr.,CONV,Residential,AUX,OWNED,38.438332,-78.875736
8,Duke Hall,820 S. Main,DUKE,Academic,EG,OWNED,38.440695,-78.87389
9,Mr. Chips Convenience Store,190 Bluestone Dr.,CS,Dining,AUX,OWNED,38.437143,-78.869631
10,Frederikson Hall,980 Frederikson Serv. Dr.,FRED,Residential,AUX,OWNED,38.435915,-78.869311
11,Gibbons Hall,150 Bluestone Dr.,GIBB,Dining,AUX,OWNED,38.437431,-78.872144
12,Gifford Hall,20 Bluestone Dr.,GIFF,Residential,AUX,OWNED,38.437839,-78.875816
13,Harrison Hall,54 Bluestone Dr.,HARR,Academic,EG,OWNED,38.438035,-78.874985
14,Huffman Hall,200 Huffman Serv. Dr.,HUFF,Residential,AUX,OWNED,38.436522,-78.868595
15,Hillcrest,251 Warren Serv. Dr.,HILL,Academic,EG,OWNED,38.438078,-78.871550
16,Hoffman Hall,71 Bluestone Dr.,HOFF,Residential,AUX,OWNED,38.436826,-78.874951
17,Jackson Hall,58 Bluestone Dr.,JACK,Academic,EG,OWNED,38.438019,-78.874230
18,Johnston Hall,70 Alumnae Dr.,JOHN,Academic,EG,OWNED,38.439499,-78.873427
19,Keezell Hall,921 Madison Dr.,KEEZ,Academic,EG,OWNED,38.438454,-78.872733
20,Frye Building,91 Bluestone Dr.,FRYE,Administrative,EG,OWNED,38.436563,-78.874342
21,Carrier Library,880 Madison Dr.,LIBR,Library,EG,OWNED,38.438786,-78.872019
23,Logan Hall,70 Bluestone Dr.,LOGN,Residential,AUX,OWNED,38.437424,-78.875156
24,Maury Hall,971 Madison Dr.,MAUR,Academic,EG,OWNED,38.437688,-78.873604
25,Moody Hall,90 Bluestone Dr.,MOOD,Academic,EG,OWNED,38.437335,-78.874021
27,Power Plant,1010 Newman Dr.,PWRP,Physical Plant,EG,OWNED,38.436455,-78.873886
29,Sheldon Hall,71 Alumnae Dr.,SHEL,Academic,EG,OWNED,38.439217,-78.873715
31,Spotswood Hall,51 Alumnae Dr.,SPOT,Residential,AUX,OWNED,38.439531,-78.874219
33,Varner House,80 Bluestone Dr.,VARN,Student Services,EG,OWNED,38.437098,-78.874318
34,Wayland Hall,51 Bluestone Dr.,WAYL,Residential,AUX,OWNED,38.437328,-78.875778
36,Wilson Hall,951 Madison Dr.,WILS,Administrative,EG,OWNED,38.438019,-78.873086
38,Hanson Hall,350 Carrier Dr.,HANS,Residential,AUX,OWNED,38.435087,-78.868906
39,Chappelear Hall,360 Carrier Dr.,CHAP,Residential,AUX,OWNED,38.435360,-78.868339
41,Shorts Hall,440 Lakeside Service Dr,SHOR,Residential,AUX,OWNED,38.433840,-78.873731
